w_track,l_rack,wb,x_travel,num_fit_points,wheel_angle_target,phi_upper_bound,rack_spacing,l_tierod,l_str_arm,MSE
800.0,300.0,2000.0,80.0,100.0,0.3490658503988659,0.0,72.0,316.0,266.1,4.116669353831358e-05
800.0,300.0,2000.0,80.0,100.0,0.3490658503988659,0.0,68.0,314.0,264.1,4.248090565238301e-05
800.0,300.0,2000.0,80.0,100.0,0.3490658503988659,0.0,66.0,314.0,262.1,4.375647366580733e-05
800.0,300.0,2000.0,80.0,100.0,0.3490658503988659,0.0,70.0,316.0,264.1,4.3780907761068805e-05
800.0,300.0,2000.0,80.0,100.0,0.3490658503988659,0.0,64.0,314.0,262.1,4.446106833157942e-05
